concept,score,evidence
Energy consumption,2,"In fiscal 2022, we undertook a commitment to assess 100 of our top suppliers on ESG over a four-year period. We have covered 46 suppliers as on March 31, 2023. 5. Provide details of any corrective actions taken or underway to address significant risks / concerns arising from the assessments at Quest || (Prevention and Control of Pollution) Act, Air (Prevention and Control of Pollution) Act, Environment Protection Act and rules thereunder (Y / N). If not, provide details of all such non-compliances in the following format: Yes. We are compliant with the applicable environmental law / regulations /  || ` ) 10 Assam Hailakandi 1,33,317 11 Bihar Muzaffarpur 4,41,039 12 Bihar Aurangabad 4,40,700 13 Bihar Gaya 2,62,168 14 Bihar Katihar 2,03,167 15 Bihar Khagaria 1,47,158 16 Bihar Purnia 1,43,770 17 Bihar Begusarai 1,42,732 18 Himachal Pradesh Chamba 1,05,603 Business Responsibility and Sustainability  || and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr || Report 2022-23192 3. Water withdrawal, consumption and discharge in areas of water stress (in kilolitres): For each facility / plant located in areas of water stress, provide the following information: (i) Name of the area (ii) Nature of operations (iii) Water withdrawal, consumption and discharge i"
Energy efficiency,3,"In fiscal 2022, we undertook a commitment to assess 100 of our top suppliers on ESG over a four-year period. We have covered 46 suppliers as on March 31, 2023. 5. Provide details of any corrective actions taken or underway to address significant risks / concerns arising from the assessments at Quest || (Prevention and Control of Pollution) Act, Air (Prevention and Control of Pollution) Act, Environment Protection Act and rules thereunder (Y / N). If not, provide details of all such non-compliances in the following format: Yes. We are compliant with the applicable environmental law / regulations /  || and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr || operations 70.73 0 Total 10,160.55 10,241.5Business Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-23189For each category of waste generated, total waste disposed by nature of disposal method (in metric tonnes) Category of waste Fiscal 2023 Fiscal 2022 (i) Incineratio || – please specify level of treatmentBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231934. Please provide details of total Scope 3 emissions and its intensity for every rupee of turnover Parameter Unit Fiscal 2023 Fiscal 2022 Total Scope 3 emissions (Break-up "
Water withdrawal,2,"Report 2022-23192 3. Water withdrawal, consumption and discharge in areas of water stress (in kilolitres): For each facility / plant located in areas of water stress, provide the following information: (i) Name of the area (ii) Nature of operations (iii) Water withdrawal, consumption and discharge i || turnover (Water consumed / turnover) 15.50 kl / ` cr 10.79 kl / ` cr Water intensity (optional) – the relevant metric may be selected by the entity NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the exte || level of treatment (iv) Sent to third-parties Nil Nil Nil Nil Nil Nil Nil Nil Nil Nil No treatment With treatment – please specify level of treatment (v) Others Nil Nil Nil Nil Nil Nil Nil Nil Nil Nil No treatment – Discharged through common sewers managed by local authorities With treatment – pleas || (Prevention and Control of Pollution) Act, Air (Prevention and Control of Pollution) Act, Environment Protection Act and rules thereunder (Y / N). If not, provide details of all such non-compliances in the following format: Yes. We are compliant with the applicable environmental law / regulations /  || Yes, the entity has an equal opportunity policy as per the Rights of Persons with Disabilities Act, 2016. https://www.infosys.com/careers/discover/culture/documents/diversity-inclusion-policy.pdf 5. Return to work and retention rates of employees that took parental leave. GenderPermanent employees –"
Water recycling,2,"Report 2022-23192 3. Water withdrawal, consumption and discharge in areas of water stress (in kilolitres): For each facility / plant located in areas of water stress, provide the following information: (i) Name of the area (ii) Nature of operations (iii) Water withdrawal, consumption and discharge i || turnover (Water consumed / turnover) 15.50 kl / ` cr 10.79 kl / ` cr Water intensity (optional) – the relevant metric may be selected by the entity NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the exte || operations 70.73 0 Total 10,160.55 10,241.5Business Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-23189For each category of waste generated, total waste disposed by nature of disposal method (in metric tonnes) Category of waste Fiscal 2023 Fiscal 2022 (i) Incineratio || Conduct, which is based on the UNGC principles. 3. Describe the processes in place to safely collect, reuse, recycle and dispose after sale and at the end of life of your products. (a) Plastics (including packaging) (b) E-waste (c) Hazardous waste (d) Other wasteNot applicable. We don’t manufacture  || and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr"
GHG emissions,2,"and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr || In fiscal 2022, we undertook a commitment to assess 100 of our top suppliers on ESG over a four-year period. We have covered 46 suppliers as on March 31, 2023. 5. Provide details of any corrective actions taken or underway to address significant risks / concerns arising from the assessments at Quest || (Prevention and Control of Pollution) Act, Air (Prevention and Control of Pollution) Act, Environment Protection Act and rules thereunder (Y / N). If not, provide details of all such non-compliances in the following format: Yes. We are compliant with the applicable environmental law / regulations /  || – please specify level of treatmentBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231934. Please provide details of total Scope 3 emissions and its intensity for every rupee of turnover Parameter Unit Fiscal 2023 Fiscal 2022 Total Scope 3 emissions (Break-up  || and regulatory compliance. For certification, refer to https://www.infosys.com/about/esg/certifications.html . 8. Disclose any significant adverse impact to the environment, arising from the value chain of the entity. What mitigation or adaptation measures have been taken by the entity in this regar"
Scope 1 emissions,2,"– please specify level of treatmentBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231934. Please provide details of total Scope 3 emissions and its intensity for every rupee of turnover Parameter Unit Fiscal 2023 Fiscal 2022 Total Scope 3 emissions (Break-up  || and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr || In fiscal 2022, we undertook a commitment to assess 100 of our top suppliers on ESG over a four-year period. We have covered 46 suppliers as on March 31, 2023. 5. Provide details of any corrective actions taken or underway to address significant risks / concerns arising from the assessments at Quest || Project (CDP)ISO 9001, GRI Standard 2021, UNGC PrinciplesISO 9001, GRI Standard 2021, UN SDGsISO 9001, GRI Standard 2021, ISO 27001, ISO 27701, SASBBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231695. Specific commitments, goals and targets set by the entit || and regulatory compliance. For certification, refer to https://www.infosys.com/about/esg/certifications.html . 8. Disclose any significant adverse impact to the environment, arising from the value chain of the entity. What mitigation or adaptation measures have been taken by the entity in this regar"
Scope 2 emissions,2,"– please specify level of treatmentBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231934. Please provide details of total Scope 3 emissions and its intensity for every rupee of turnover Parameter Unit Fiscal 2023 Fiscal 2022 Total Scope 3 emissions (Break-up  || and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr || In fiscal 2022, we undertook a commitment to assess 100 of our top suppliers on ESG over a four-year period. We have covered 46 suppliers as on March 31, 2023. 5. Provide details of any corrective actions taken or underway to address significant risks / concerns arising from the assessments at Quest || Project (CDP)ISO 9001, GRI Standard 2021, UNGC PrinciplesISO 9001, GRI Standard 2021, UN SDGsISO 9001, GRI Standard 2021, ISO 27001, ISO 27701, SASBBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231695. Specific commitments, goals and targets set by the entit || and regulatory compliance. For certification, refer to https://www.infosys.com/about/esg/certifications.html . 8. Disclose any significant adverse impact to the environment, arising from the value chain of the entity. What mitigation or adaptation measures have been taken by the entity in this regar"
Scope 3 emissions,2,"– please specify level of treatmentBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231934. Please provide details of total Scope 3 emissions and its intensity for every rupee of turnover Parameter Unit Fiscal 2023 Fiscal 2022 Total Scope 3 emissions (Break-up  || and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr || In fiscal 2022, we undertook a commitment to assess 100 of our top suppliers on ESG over a four-year period. We have covered 46 suppliers as on March 31, 2023. 5. Provide details of any corrective actions taken or underway to address significant risks / concerns arising from the assessments at Quest || Project (CDP)ISO 9001, GRI Standard 2021, UNGC PrinciplesISO 9001, GRI Standard 2021, UN SDGsISO 9001, GRI Standard 2021, ISO 27001, ISO 27701, SASBBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231695. Specific commitments, goals and targets set by the entit || and regulatory compliance. For certification, refer to https://www.infosys.com/about/esg/certifications.html . 8. Disclose any significant adverse impact to the environment, arising from the value chain of the entity. What mitigation or adaptation measures have been taken by the entity in this regar"
Waste management,2,"operations 70.73 0 Total 10,160.55 10,241.5Business Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-23189For each category of waste generated, total waste disposed by nature of disposal method (in metric tonnes) Category of waste Fiscal 2023 Fiscal 2022 (i) Incineratio || and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr || Conduct, which is based on the UNGC principles. 3. Describe the processes in place to safely collect, reuse, recycle and dispose after sale and at the end of life of your products. (a) Plastics (including packaging) (b) E-waste (c) Hazardous waste (d) Other wasteNot applicable. We don’t manufacture  || turnover (Water consumed / turnover) 15.50 kl / ` cr 10.79 kl / ` cr Water intensity (optional) – the relevant metric may be selected by the entity NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the exte || ` ) 10 Assam Hailakandi 1,33,317 11 Bihar Muzaffarpur 4,41,039 12 Bihar Aurangabad 4,40,700 13 Bihar Gaya 2,62,168 14 Bihar Katihar 2,03,167 15 Bihar Khagaria 1,47,158 16 Bihar Purnia 1,43,770 17 Bihar Begusarai 1,42,732 18 Himachal Pradesh Chamba 1,05,603 Business Responsibility and Sustainability "
Hazardous waste,2,"operations 70.73 0 Total 10,160.55 10,241.5Business Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-23189For each category of waste generated, total waste disposed by nature of disposal method (in metric tonnes) Category of waste Fiscal 2023 Fiscal 2022 (i) Incineratio || Conduct, which is based on the UNGC principles. 3. Describe the processes in place to safely collect, reuse, recycle and dispose after sale and at the end of life of your products. (a) Plastics (including packaging) (b) E-waste (c) Hazardous waste (d) Other wasteNot applicable. We don’t manufacture  || turnover (Water consumed / turnover) 15.50 kl / ` cr 10.79 kl / ` cr Water intensity (optional) – the relevant metric may be selected by the entity NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the exte || and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr || on legal requirements / internal benchmarks and have also included them in the internal audits cycle. We have established numerous interventions to address occupational health-related topics, including emotional well-being, mental health, ergonomics, safety, lifestyle diseases and more. Well-equippe"
Biodiversity,2,"– please specify level of treatmentBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231934. Please provide details of total Scope 3 emissions and its intensity for every rupee of turnover Parameter Unit Fiscal 2023 Fiscal 2022 Total Scope 3 emissions (Break-up  || Report 2022-23192 3. Water withdrawal, consumption and discharge in areas of water stress (in kilolitres): For each facility / plant located in areas of water stress, provide the following information: (i) Name of the area (ii) Nature of operations (iii) Water withdrawal, consumption and discharge i || and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entityNA NA NA Note: Indicate if any independent assessment / evaluation / assurance has been carried out by an external agency? (Y / N) If yes, name of the external agency.Yes. Independent assurance has been carr || (Prevention and Control of Pollution) Act, Air (Prevention and Control of Pollution) Act, Environment Protection Act and rules thereunder (Y / N). If not, provide details of all such non-compliances in the following format: Yes. We are compliant with the applicable environmental law / regulations /  || on our stakeholders and our business. Read our ESG Vision 2030 document at https://www.infosys.com/content/dam/infosys-web/en/about/corporate-responsibility/esg-vision-2030/index.html . The quarterly ESG Committee meeting provides us an opportunity to share feedback with the Board on these consultat"
Supply chain environmental criteria,3,"and regulatory compliance. For certification, refer to https://www.infosys.com/about/esg/certifications.html . 8. Disclose any significant adverse impact to the environment, arising from the value chain of the entity. What mitigation or adaptation measures have been taken by the entity in this regar || Conduct, which is based on the UNGC principles. 3. Describe the processes in place to safely collect, reuse, recycle and dispose after sale and at the end of life of your products. (a) Plastics (including packaging) (b) E-waste (c) Hazardous waste (d) Other wasteNot applicable. We don’t manufacture  || partners on any of the principles during the financial year: Segment Total number of awareness programs heldTopics / principles covered under the training (1)% of value chain partners covered under the awareness programs Value chain partners 2Governance, ethics and compliance with law, fair business || Infosys has always placed sustainability at the heart of its business approach. Our ability to fulfil and exceed our responsibilities to our stakeholders is a testament to our commitment. We have balanced our business success with unwavering focus on exemplary governance and responsiveness to the ne || – please specify level of treatmentBusiness Responsibility and Sustainability Report Infosys Integrated Annual Report 2022-231934. Please provide details of total Scope 3 emissions and its intensity for every rupee of turnover Parameter Unit Fiscal 2023 Fiscal 2022 Total Scope 3 emissions (Break-up "
